"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"30",30,1,"gap",19,"a","!","{Yes}",0,3283,"Non-Native",74,-0.5,0.5,3283
"47",47,1,"gap",14,"b","!","{Yes}",0,1458,"Non-Native",74,-0.5,-0.5,1458
"62",62,1,"gap",18,"b","!","{No}",1,4263,"Non-Native",74,-0.5,-0.5,4263
"66",66,1,"gap",21,"a","!","{Yes}",0,1265,"Non-Native",74,-0.5,0.5,1265
"80",80,1,"gap",16,"b","!","{No}",1,4316,"Non-Native",74,-0.5,-0.5,4316
"86",86,1,"gap",22,"b","!","{Yes}",0,2078,"Non-Native",74,-0.5,-0.5,2078
"96",96,1,"gap",15,"a","!","{Yes}",0,2746,"Non-Native",74,-0.5,0.5,2746
"114",114,1,"gap",13,"a","!","{Yes}",0,1756,"Non-Native",74,-0.5,0.5,1756
"122",122,1,"gap",17,"a","!","{Yes}",0,1111,"Non-Native",74,-0.5,0.5,1111
"136",136,1,"gap",23,"a","!","{Yes}",0,2667,"Non-Native",74,-0.5,0.5,2667
"155",155,1,"gap",24,"b","!","{Yes}",0,3134,"Non-Native",74,-0.5,-0.5,3134
"179",179,1,"gap",20,"b","!","{Yes}",0,1975,"Non-Native",74,-0.5,-0.5,1975
"203",203,2,"gap",14,"a","!","{Yes}",0,1305,"Non-Native",71,0.5,0.5,1305
"213",213,2,"gap",17,"b","!","{Yes}",0,2105,"Non-Native",71,0.5,-0.5,2105
"220",220,2,"gap",23,"b","!","{Yes}",0,4690,"Non-Native",71,0.5,-0.5,4690
"256",256,2,"gap",19,"b","!","{Yes}",0,1640,"Non-Native",71,0.5,-0.5,1640
"262",262,2,"gap",24,"a","!","{No}",1,3208,"Non-Native",71,0.5,0.5,3208
"276",276,2,"gap",18,"a","!","{Yes}",0,1872,"Non-Native",71,0.5,0.5,1872
"286",286,2,"gap",22,"a","!","{No}",1,2262,"Non-Native",71,0.5,0.5,2262
"295",295,2,"gap",20,"a","!","{Yes}",0,1576,"Non-Native",71,0.5,0.5,1576
"323",323,2,"gap",15,"b","!","{Yes}",0,2070,"Non-Native",71,0.5,-0.5,2070
"333",333,2,"gap",13,"b","!","{Yes}",0,3816,"Non-Native",71,0.5,-0.5,3816
"337",337,2,"gap",16,"a","!","{Yes}",0,2202,"Non-Native",71,0.5,0.5,2202
"358",358,2,"gap",21,"b","!","{Yes}",0,1952,"Non-Native",71,0.5,-0.5,1952
"380",380,3,"gap",23,"a","!","{Yes}",0,1952,"Non-Native",72,-0.5,0.5,1952
"386",386,3,"gap",19,"a","!","{Yes}",0,1291,"Non-Native",72,-0.5,0.5,1291
"393",393,3,"gap",14,"b","!","{Yes}",0,1153,"Non-Native",72,-0.5,-0.5,1153
