"","X","subject","type","item","condition","question","correct_answer","response","rt","group","proficiency1","proficiency2","ambiguity","trimmed_rt"
"14",14,1,"gp",17,"a","0","-","-",5649,"Non-Native",74,-0.5,0.5,5649
"18",18,1,"gp",23,"c","0","-","-",5099,"Non-Native",74,-0.5,0.5,5099
"32",32,1,"gp",2,"b","0","-","-",3471,"Non-Native",74,-0.5,-0.5,3471
"39",39,1,"gp",9,"a","0","-","-",6462,"Non-Native",74,-0.5,0.5,6462
"42",42,1,"gp",19,"c","0","-","-",15979,"Non-Native",74,-0.5,0.5,15979
"50",50,1,"gp",7,"c","0","-","-",11529,"Non-Native",74,-0.5,0.5,11529
"57",57,1,"gp",8,"d","0","-","-",4024,"Non-Native",74,-0.5,-0.5,4024
"68",68,1,"gp",4,"d","0","-","-",5274,"Non-Native",74,-0.5,-0.5,5274
"75",75,1,"gp",22,"b","0","-","-",5427,"Non-Native",74,-0.5,-0.5,5427
"82",82,1,"gp",1,"a","0","-","-",9164,"Non-Native",74,-0.5,0.5,9164
"92",92,1,"gp",14,"b","0","-","-",3041,"Non-Native",74,-0.5,-0.5,3041
"98",98,1,"gp",11,"c","0","-","-",4435,"Non-Native",74,-0.5,0.5,4435
"104",104,1,"gp",6,"b","0","-","-",6132,"Non-Native",74,-0.5,-0.5,6132
"110",110,1,"gp",20,"d","0","-","-",3880,"Non-Native",74,-0.5,-0.5,3880
"117",117,1,"gp",5,"a","0","-","-",5314,"Non-Native",74,-0.5,0.5,5314
"124",124,1,"gp",3,"c","0","-","-",6249,"Non-Native",74,-0.5,0.5,6249
"127",127,1,"gp",10,"b","0","-","-",4466,"Non-Native",74,-0.5,-0.5,4466
"142",142,1,"gp",21,"a","0","-","-",3768,"Non-Native",74,-0.5,0.5,3768
"146",146,1,"gp",12,"d","0","-","-",13655,"Non-Native",74,-0.5,-0.5,13655
"150",150,1,"gp",15,"c","0","-","-",3796,"Non-Native",74,-0.5,0.5,3796
"161",161,1,"gp",24,"d","0","-","-",3699,"Non-Native",74,-0.5,-0.5,3699
"165",165,1,"gp",18,"b","0","-","-",9641,"Non-Native",74,-0.5,-0.5,9641
"168",168,1,"gp",16,"d","0","-","-",6071,"Non-Native",74,-0.5,-0.5,6071
"175",175,1,"gp",13,"a","0","-","-",6735,"Non-Native",74,-0.5,0.5,6735
"194",194,2,"gp",19,"d","0","-","-",5839,"Non-Native",71,0.5,-0.5,5839
"198",198,2,"gp",24,"a","0","-","-",3704,"Non-Native",71,0.5,0.5,3704
"215",215,2,"gp",15,"d","0","-","-",4473,"Non-Native",71,0.5,-0.5,4473
"223",223,2,"gp",16,"a","0","-","-",8950,"Non-Native",71,0.5,0.5,8950
"230",230,2,"gp",14,"c","0","-","-",9484,"Non-Native",71,0.5,0.5,9484
"236",236,2,"gp",3,"d","0","-","-",3159,"Non-Native",71,0.5,-0.5,3159
"243",243,2,"gp",6,"c","0","-","-",4451,"Non-Native",71,0.5,0.5,4451
"251",251,2,"gp",20,"a","0","-","-",5431,"Non-Native",71,0.5,0.5,5431
"257",257,2,"gp",12,"a","0","-","-",8266,"Non-Native",71,0.5,0.5,8266
"264",264,2,"gp",2,"c","0","-","-",3354,"Non-Native",71,0.5,0.5,3354
"268",268,2,"gp",21,"b","0","-","-",3911,"Non-Native",71,0.5,-0.5,3911
"272",272,2,"gp",9,"b","0","-","-",5752,"Non-Native",71,0.5,-0.5,5752
"278",278,2,"gp",5,"b","0","-","-",5168,"Non-Native",71,0.5,-0.5,5168
"282",282,2,"gp",22,"c","0","-","-",10549,"Non-Native",71,0.5,0.5,10549
"288",288,2,"gp",13,"b","0","-","-",3901,"Non-Native",71,0.5,-0.5,3901
"291",291,2,"gp",4,"a","0","-","-",6076,"Non-Native",71,0.5,0.5,6076
"301",301,2,"gp",8,"a","0","-","-",5314,"Non-Native",71,0.5,0.5,5314
"308",308,2,"gp",17,"b","0","-","-",14272,"Non-Native",71,0.5,-0.5,14272
"325",325,2,"gp",23,"d","0","-","-",3467,"Non-Native",71,0.5,-0.5,3467
"328",328,2,"gp",7,"d","0","-","-",3595,"Non-Native",71,0.5,-0.5,3595
"340",340,2,"gp",18,"c","0","-","-",15147,"Non-Native",71,0.5,0.5,15147
"343",343,2,"gp",11,"d","0","-","-",4306,"Non-Native",71,0.5,-0.5,4306
"350",350,2,"gp",10,"c","0","-","-",8283,"Non-Native",71,0.5,0.5,8283
"353",353,2,"gp",1,"b","0","-","-",5898,"Non-Native",71,0.5,-0.5,5898
"375",375,3,"gp",22,"d","0","-","-",3716,"Non-Native",72,-0.5,-0.5,3716
"382",382,3,"gp",9,"c","0","-","-",5010,"Non-Native",72,-0.5,0.5,5010
"388",388,3,"gp",12,"b","0","-","-",3394,"Non-Native",72,-0.5,-0.5,3394
"400",400,3,"gp",20,"b","0","-","-",3880,"Non-Native",72,-0.5,-0.5,3880
"407",407,3,"gp",14,"d","0","-","-",4064,"Non-Native",72,-0.5,-0.5,4064
"414",414,3,"gp",11,"a","0","-","-",3644,"Non-Native",72,-0.5,0.5,3644
"420",420,3,"gp",2,"d","0","-","-",4373,"Non-Native",72,-0.5,-0.5,4373
"424",424,3,"gp",8,"b","0","-","-",3920,"Non-Native",72,-0.5,-0.5,3920
"428",428,3,"gp",10,"d","0","-","-",5477,"Non-Native",72,-0.5,-0.5,5477
"439",439,3,"gp",13,"c","0","-","-",3900,"Non-Native",72,-0.5,0.5,3900
"449",449,3,"gp",5,"c","0","-","-",6333,"Non-Native",72,-0.5,0.5,6333
"455",455,3,"gp",24,"b","0","-","-",2479,"Non-Native",72,-0.5,-0.5,2479
